"","rf_fit_pred_x"
"1","0"
"2","0"
"3","0"
"4","0"
"5","0"
"6","0"
"7","0"
"8","0"
"9","0"
"10","0"
"11","0"
"12","0"
"13","0"
"14","0"
"15","0"
"16","0"
"17","0"
"18","0"
"19","0"
"20","0"
"21","0"
"22","0"
"23","0"
"24","0"
"25","1"
"26","1"
"27","1"
"28","1"
"29","0"
"30","0"
"31","0"
"32","0"
"33","1"
"34","1"
"35","1"
"36","0"
"37","0"
"38","0"
"39","0"
"40","0"
"41","1"
"42","1"
"43","1"
"44","1"
"45","1"
"46","1"
"47","1"
"48","0"
"49","0"
"50","0"
"51","0"
"52","1"
"53","1"
"54","1"
"55","1"
"56","1"
"57","0"
"58","0"
"59","0"
"60","0"
"61","0"
"62","0"
"63","0"
"64","0"
"65","0"
"66","0"
"67","0"
"68","0"
"69","0"
"70","0"
"71","0"
"72","0"
"73","0"
"74","0"
"75","0"
"76","0"
"77","0"
"78","1"
"79","0"
"80","0"
"81","0"
"82","0"
"83","0"
"84","0"
"85","0"
"86","0"
"87","0"
"88","0"
"89","0"
"90","0"
"91","0"
"92","0"
"93","0"
"94","0"
"95","0"
"96","0"
"97","0"
"98","0"
"99","0"
"100","0"
"101","0"
"102","0"
"103","0"
"104","0"
"105","0"
"106","1"
"107","1"
"108","1"
"109","1"
"110","1"
"111","1"
"112","1"
"113","1"
"114","1"
"115","1"
"116","1"
"117","1"
"118","0"
"119","0"
"120","0"
"121","0"
"122","0"
"123","0"
"124","0"
"125","0"
"126","0"
"127","0"
"128","0"
"129","0"
"130","0"
"131","0"
"132","0"
"133","1"
"134","1"
"135","1"
"136","1"
"137","1"
"138","1"
"139","1"
"140","1"
"141","1"
"142","0"
"143","0"
"144","0"
"145","0"
"146","1"
"147","1"
"148","1"
"149","1"
"150","0"
"151","0"
"152","0"
"153","0"
"154","1"
"155","1"
"156","1"
"157","1"
"158","1"
"159","0"
"160","0"
"161","1"
"162","1"
"163","0"
"164","0"
"165","0"
"166","1"
"167","1"
"168","1"
"169","0"
"170","1"
"171","1"
"172","0"
"173","0"
"174","0"
"175","0"
"176","0"
"177","0"
"178","0"
"179","0"
"180","0"
"181","0"
"182","0"
"183","0"
"184","0"
"185","0"
